Rain ,Temperature ,RH ,Dew Point,Wind Speed ,Gust Speed ,Wind Direction ,PLANTA,FRUTO,INCIDENCIA,SEVERIDAD
0,25.60,80.96,21.54,0.04,0.63,188.51,1,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,1,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,2,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,3,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,4,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,5,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,8,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,9,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,6,10,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,1,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,2,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,3,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,4,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,5,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,6,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,7,0,0
0,25.60,80.96,21.54,0.04,0.63,188.51,7,8,0,0
